Date,ODA/PAN_LE_Value,ODA/PAN_LP_Value,ODA/PAN_PPPGDP_Value,ODA/PAN_BCA_NGDPD_Value,ODA/PAN_TX_RPCH_Value,ODA/PAN_TXG_RPCH_Value,ODA/PAN_TM_RPCH_Value,ODA/PAN_TMG_RPCH_Value,ODA/PAN_GGXWDG_NGDP_Value,ODA/PAN_GGXWDN_NGDP_Value,ODA/PAN_GGXCNL_NGDP_Value,ODA/PAN_GGXONLB_NGDP_Value,ODA/PAN_GGR_NGDP_Value,ODA/PAN_GGSB_NPGDP_Value,ODA/PAN_GGX_NGDP_Value,ODA/PAN_NGSD_NGDP_Value,ODA/PAN_PPPEX_Value,ODA/PAN_PCPIPCH_Value,ODA/PAN_PCPIEPCH_Value,ODA/PAN_PCPI_Value,ODA/PAN_PCPIE_Value,ODA/PAN_PPPSH_Value,ODA/PAN_NID_NGDP_Value,ODA/PAN_LUR_Value
1991-12-31,,0.020467836257310003,0.1305334846765,-2.0811875985286,-0.81851789615191,-0.81851789615191,-2.8925316455696,-2.8925316455696,,,-0.85700817096166,-0.59038492772454,-0.46268315018315004,,-0.49559355820175,-0.13333833570946,-0.027833001988072006,0.9921976592977901,0.5866935483871,0.015326427224158999,0.0078693973312478,0.075,0.43841557440247,-0.044739517913751
1992-12-31,,0.018419975440033,0.10676037483266,-0.035722964763062005,4.8435185185185,4.8435185185185,0.2916861748378,0.2916861748378,-0.12018902644469999,-0.12017901575892,4.0373626373626,-0.50674068199841,0.23780357903707,,0.32770006759919,0.33532467532467997,0.026584867075665,0.14295039164491,1.0952986022872,0.017507173077858002,0.016488845780795,-0.023255813953488,0.31872696817420004,-0.081209692567779
1993-12-31,,0.018890675241158002,0.079603870577563,-0.67036290322581,-0.8623567316326,-0.8623567316326,-0.5077671913836,-0.5077671913836,-0.084152436689284,-0.084136928727144,2.7203315881326002,-4.6889067524116,-0.027709651047717002,,0.21897152704342998,0.42371782402905,0.01195219123506,-0.7270131353512299,-0.42146755609459996,0.0047794293361373,0.0095419847328244,0.023809523809523996,0.22523117569353,-0.096224614965245
1994-12-31,,0.018934911242603998,0.05041663749037201,-1.2033639143731,-0.057559478127398,-0.057559478127398,0.062802440563854,0.062802440563854,-0.062078504111762994,-0.062069778911929004,-2.6257769438255,-4.337764218784001,-0.056511926361905995,,-0.76037784346485,0.099052737043447,0.015748031496063,1.7866108786611,0.38679245283019,0.013318746135185,0.013232514177694,0.0,0.016960398092474,0.056250942542602995
1995-12-31,,0.018583042973286997,0.038730751283248,-23.101503759397996,2.6225570032573,2.6225570032573,-0.41878649905969,-0.47965950707710997,-0.021639479189291,-0.021628542359706,-0.41780278439009993,-0.34497617026833005,0.062288930581613,,0.9545454545454499,-0.05424108067791,-0.017441860465116,-0.29504504504504997,-0.36507936507937,0.0093977374078769,0.0083955223880596,-0.023255813953488,0.06956450823682901,0.00078526556253577
1996-12-31,,0.016723679209426003,0.09331279681684,-0.2745364857969,-1.2944812858266999,-1.2944812858266999,0.82884877384196,1.042800076089,-0.15176547566191,-0.15175556464334,-0.78255482591996,-0.5229741851888801,-0.04410985517485,,0.36482129381903,-0.015466175955135001,0.078895463510848,0.34611288604899,1.7535714285714001,0.012630678224636002,0.023126734505088,0.023809523809523996,0.019252764010675,0.021256865682288004
1997-12-31,,0.016448598130841003,0.081650622211787,-1.1589683470106,-4.579389312977099,-4.6843511450382,0.40040972157557003,-0.17198994319768998,-0.075430114192046,-0.075430114192046,-1.4774928774929,-0.5541161721688299,0.045637211880456,-0.53120243531202,0.17994470972606,0.17280049842019,0.0,-0.0071202531645571,-1.1954172070904,0.012555798445909998,-0.0045207956600362,0.023255813953488,-0.039610996820647004,-0.06614514213871599
1998-12-31,,0.016917984553145,0.085092527269767,-9.7448377581121,-1.9566005544891998,-3.2592976276805,-0.6231797326949899,1.085020242915,-0.034162184711193,-0.034162184711193,2.3377088305488996,-1.0463917525773,-0.0054335821884526,-1.0986201298701,0.078210862619808,-0.19234271837292,0.0,-0.4996015936255,-4.0132743362832,0.0062771564118614,0.013623978201635,0.045454545454545005,0.05986134911980099,0.015407629020195001
1999-12-31,,0.016998191681736,0.055063765941485,0.46618316748187,-0.53617211013265,-1.0709798706956,-1.8133050997,-1.0811758360302,-0.051397544270994,-0.051397544270994,-0.63174830175188,-19.212121212121,0.086301856622546,-9.979423868312802,0.0069534984789221,-0.19657035470989,-0.0073126142595978,1.0700636942675001,0.11820851688693,0.012998837135929,0.015232974910394,0.021739130434783,-0.05210744864586799,-0.13428108426635002
2000-12-31,,0.04836415362731201,0.050530906332954,-0.31784194179225,-1.5592405671713998,0.44638242894057,1.1842048166631,8.1734219269103,-0.028343306881747996,-0.028343306881747996,-0.41067961165049,0.5097060454797601,0.014351719344155002,0.48212648945921005,-0.0028249695923412,0.064850008771417,-0.034990791896868996,0.11230769230769001,-0.5364412344057801,0.014460511679644,0.0070609002647837,-0.021276595744681,-0.064198488079085,0.15059984684761
