Date,ODA/UKR_LE_Value,ODA/UKR_LP_Value,ODA/UKR_PPPGDP_Value,ODA/UKR_BCA_NGDPD_Value,ODA/UKR_TX_RPCH_Value,ODA/UKR_TXG_RPCH_Value,ODA/UKR_TM_RPCH_Value,ODA/UKR_TMG_RPCH_Value,ODA/UKR_GGXWDG_NGDP_Value,ODA/UKR_GGXWDN_NGDP_Value,ODA/UKR_GGXCNL_NGDP_Value,ODA/UKR_GGXONLB_NGDP_Value,ODA/UKR_GGR_NGDP_Value,ODA/UKR_GGSB_NPGDP_Value,ODA/UKR_GGX_NGDP_Value,ODA/UKR_NGSD_NGDP_Value,ODA/UKR_PPPEX_Value,ODA/UKR_PCPIPCH_Value,ODA/UKR_PCPIEPCH_Value,ODA/UKR_PCPI_Value,ODA/UKR_PCPIE_Value,ODA/UKR_PPPSH_Value,ODA/UKR_NID_NGDP_Value,ODA/UKR_LUR_Value
1993-12-31,,0.0031329774889765,-0.12772445348905,-0.12703357563171,,,,,,,,,,,,-0.13567549777850998,,,,47.34915623249,101.5503508694,-0.16528925619835,-0.13506645320322,
1994-12-31,,-0.002988239830345,-0.21122004316829998,0.25455987311657,-1.337065233617,-1.337065233617,-1.2548899868613,-1.2548899868613,,,,,,,,-0.35176899888942,8.5,-0.8117839099084,-0.9605007801055602,8.9118724888042,4.0111599755485,-0.25123762376238,-0.30682218827123997,
1995-12-31,,-0.0080247510393504,-0.10310234877992999,-0.016118836915297,-1.3112109325573,-1.3112109325573,0.14236968200957997,0.14236968200957997,,,,,,,,0.16564687454109,4.0175438596491,-0.5772548297944201,-0.5471359905862601,3.7674470573596,1.8165101553147,-0.15206611570248,0.14127071589030998,
1996-12-31,,-0.0083040935672514,-0.08205553688455701,-0.14648249277225,0.90404553771092,0.90404553771092,-1.6673021925643,-1.6673021925643,,,,,,,,-0.15957670180154002,0.62937062937063,-0.78704428725,-0.7813169209087801,0.8023033517491,0.39723537070315,-0.13255360623782,-0.15806283889178,-0.32432432432432
1997-12-31,,-0.0093171364547707,-0.015176824594121998,0.0018818216033119999,-1.2871022848601001,-1.2871022848601001,-1.3061904761904999,-1.3061904761904999,,,,,,,,-0.048068755309049,0.16309012875536,-0.80199426648386,-0.7453176920753198,0.15886007999653,0.10117260896641,-0.069662921348315,-0.0422143802382,-0.02
1998-12-31,,-0.008452380952381,-0.0074991432040104,0.16228399699474,3.6095202677575,3.6095202677575,3.7589424572317003,3.7589424572317003,0.61074297188755,,-0.49982007916516996,-0.88716991197653,-0.02949039720646,,-0.09143885914625502,-0.056899900267702,0.1070110701107,-0.33419362961098,0.9761787091034899,0.10577079092795,0.19992596874023003,-0.041062801932367006,-0.03002809376871,0.15306122448979997
1999-12-31,,-0.0085844639212389,0.013244606758671002,-2.6968325791855,-0.18079870915692,-0.18079870915692,-0.13071895424837,-0.13071895424837,0.26692846308878,0.27922754631107005,-2.8431654676258997,-18.709219858156,-0.10451159522136001,,-0.30299316890025,0.36900985139422,0.255,1.1446534934291002,-0.038913619766918,0.22683728757035002,0.19214983667337002,-0.037783375314861,-0.08138265039646699,0.053097345132743
2000-12-31,,-0.0086789787062267,0.083419494584838,-0.09771428571428599,-2.6274374630687003,-2.6274374630687003,-1.2655639097743998,-1.2655639097743998,-0.2572979532931,-0.26928576178759,-1.6430523028883999,-1.0244293151782,0.047901560096682005,,0.37201211985187,-0.0058543724844494,0.20451527224436,0.2432992417563,0.34353369763206,0.28203096353132,0.25815826949145,0.010471204188482,0.019072724453403998,-0.035042016806723
2001-12-31,,-0.0091825307950728,0.11716879834939,-0.22123706987545003,-0.5764599092284399,-0.5764599092284399,2.5410532276331,2.5410532276331,-0.19294720339170002,-0.2009738117449,-0.083459787556904,4.6338797814208,0.0039541083785159,,-0.0038987949179345,0.042571463624095,0.073869900771775,-0.57596709569904,-0.76286024171057,0.11958804481105,0.061219264072775004,0.06735751295336799,0.10600527490363,-0.06043716798746
2002-12-31,,-0.0086922571099787,0.068152750734929,1.0290051504473001,-0.022574653521932005,-0.022574653521932005,-0.53426081394419,-0.53426081394419,-0.082409915455963,-0.09468079047781801,-0.39105960264900996,-0.48496605237633006,0.07399671788751301,,0.035554947310797995,0.085588765984153,0.035934291581109,-0.93670039300945,-1.0929434825220998,0.0075743915823487,-0.0056857269074519,0.021844660194175,-0.074062184719802,-0.10751691537677001
