Date,ODA/CHL_LE_Value,ODA/CHL_LP_Value,ODA/CHL_PPPGDP_Value,ODA/CHL_BCA_NGDPD_Value,ODA/CHL_TX_RPCH_Value,ODA/CHL_TXG_RPCH_Value,ODA/CHL_TM_RPCH_Value,ODA/CHL_TMG_RPCH_Value,ODA/CHL_GGXWDG_NGDP_Value,ODA/CHL_GGXWDN_NGDP_Value,ODA/CHL_GGXCNL_NGDP_Value,ODA/CHL_GGXONLB_NGDP_Value,ODA/CHL_GGR_NGDP_Value,ODA/CHL_GGSB_NPGDP_Value,ODA/CHL_GGX_NGDP_Value,ODA/CHL_NGSD_NGDP_Value,ODA/CHL_PPPEX_Value,ODA/CHL_PCPIPCH_Value,ODA/CHL_PCPIEPCH_Value,ODA/CHL_PCPI_Value,ODA/CHL_PCPIE_Value,ODA/CHL_PPPSH_Value,ODA/CHL_NID_NGDP_Value,ODA/CHL_LUR_Value
1991-12-31,,0.018438424766674,0.11537663415646,-0.8229308005427399,0.44186046511628,0.6842105263157899,0.20689655172414,4.1666666666667,-0.14314197318666,,-0.31155994843146007,-0.18291393529287,-0.017149163766024,,0.015119400876076999,0.054476682503805995,0.18191965144832,-0.16331233676448,-0.31015237745547997,0.21786053998682997,0.18784895437576,0.054982817869415994,-0.08513295137358601,0.06025806451612901
1992-12-31,,0.018104604380867,0.14767441860465,6.9693486590038,0.12096774193547999,0.44791666666667,2.1142857142857,1.7634408602151002,-0.18048089010137,,0.33895131086141994,0.017339544513458,0.0056577697158159,,-0.019070155902005,-0.10599300087489,0.10210886923448,-0.29186558942343,-0.31094315520545,0.15425515936195,0.1294673897928,0.009771986970684,0.051465274989964005,-0.18461725690641
1993-12-31,,0.017782656421514997,0.09469098277608902,1.4908653846153999,-0.74820143884892,-0.73381294964029,-0.34862385321101,-0.50194552529183,-0.07662935282791,-0.093412128131086,-0.32960372960372997,-0.23887051640804,-0.016405411208933,,0.015325670498084,0.07417918481186099,0.08946342039947999,-0.17489952029042002,-0.028889232195273,0.12726420986883,0.12573257818271,0.04516129032258099,0.10010690287110999,-0.029850746268657004
1994-12-31,,0.017543859649123,0.079151472520963,-0.46187994595638,2.3142857142857003,1.6486486486486,-0.2887323943662,-0.4921875,-0.19308662920157,-0.39918518518519,0.012517385257302002,-0.054144385026738004,-0.023228398026459,,-0.025669694852084996,-0.075160570309297,0.11142390661697998,-0.10095851665619,-0.26996500159083997,0.11444336704067999,0.09176218391810302,0.024691358024691003,-0.074512389810509,0.20123076923077
1995-12-31,,0.017170717919729,0.12791814610885,-0.34146341463415003,-0.051724137931034,0.1734693877551,1.4752475247525,2.7538461538462,-0.23723171265878,-0.5159659721365999,1.1517857142857,0.44840989399292996,0.021411649009879,,-0.05723438844793,0.23316751219032,0.078862475048926,-0.28052084243642,-0.092612769666594,0.082326862919765,0.08328825309050099,0.066265060240964,0.068324145948176,-0.055455942622951
1996-12-31,,0.013963181660299001,0.09316949655167199,1.1617647058823999,0.072727272727273,0.04304347826086899,-0.528,-0.5053278688524601,-0.15280808544848998,-0.6286296484971999,-0.3300351101181,-0.30446450353745,0.0076148796498906,,0.061216209362479,-0.062267843591485,0.0076359359449923,-0.10615814405441999,-0.20341018251681,0.073576418796057,0.06634238366501401,0.033898305084746,-0.027870406121660998,-0.11864406779660999
1997-12-31,,0.013702384214853001,0.084310615861887,0.08692365835223001,-0.050847457627119,-0.080783659858274,0.11737288135592999,0.2072908036454,-0.12458483020403,-1.2990397805213,-0.018103858980467,-0.046650298141003,-0.0034746351633079,,-0.0019594723762187,-0.020998381463498004,0.024431195790759,-0.16646283462427,-0.08848356949050401,0.06134892759721201,0.060463099470990996,0.024590163934426,-0.0054522476981405,-0.060307692307692
1998-12-31,,0.013584752635848001,0.043877937223758,0.11404728789985999,-0.53035714285714,-0.29076727734446006,-0.45612438376943,-0.5203815536645601,-0.056678281068524995,-0.36467889908257,-0.8088306647258601,-0.66740250183959,-0.019918061366806,,0.05789398074989199,-0.043637154666087,0.010771725316621999,-0.16693837626345,-0.22854307921282999,0.051100285570300996,0.046646276639244005,0.008,-0.023126633749637002,0.01784544859201
1999-12-31,,0.013336000533440001,0.0081056001769835,-1.0274656679151,0.21787072243345998,-0.25306905370844,-2.3970157579138,-3.0705394190871,0.09496839858819699,-6.9025270758123,-6.1446700507614,-2.641592920354,-0.030239694045447997,,0.078852073148651,-0.046674551906105,0.011693142797683,-0.34696673189824,-0.50503751339764,0.033369558268874,0.023096276155204,-0.042328042328042,-0.22510870777121,0.60977963648062
2000-12-31,,0.01322629466342,0.068462504419492,-9.719696969696999,-0.19731501717140001,-0.16418421503167002,-2.0101816729886,-1.9353189136894,-0.011169415292353997,0.88501529051988,-0.6571287617168199,-0.9629380053908401,0.022148851286284,,-0.035579424351766,-0.0090188967360183,0.028618569071546,0.15163320347617998,0.9601559116500601,0.038431797092484,0.045271952467505,-0.0027624309392265,0.052374100719424,-0.029976019184651998
